AreaName,AreaNumber,Time Range,Total,Not Hispanic or Latino: Asian alone,Not Hispanic or Latino: Black or African American alone,Hispanic or Latino,Not Hispanic or Latino: White alone,Not Hispanic or Latino: Other
Rogers Park,1,1980,55525,#N/A,5095,6621,38699,5110
Rogers Park,1,1990,60378,5100,15885,12005,27030,358
Rogers Park,1,2000*,63484,4063,18767,17639,20170,2845
Rogers Park,1,2010,54991,3523,14461,13433,21618,1956
Rogers Park,1,2008-2012,57559,3876,15662,14280,21819,1922
Rogers Park,1,2009-2013,57165,3450,15461,14189,22304,1761
Rogers Park,1,2010-2014,55053,3526,14325,13530,22094,1578
Rogers Park,1,2011-2015,54402,3501,13320,13135,22769,1677
West Ridge,2,1980,61129,#N/A,436,2266,52949,5478
West Ridge,2,1990,65374,10523,2045,5398,47098,310
West Ridge,2,2000*,73199,16347,4962,11353,36403,4134
West Ridge,2,2010,71942,16184,8015,14701,30706,2336
West Ridge,2,2008-2012,73705,17078,7683,15260,31779,1905
West Ridge,2,2009-2013,73305,17702,7529,13994,31630,2450
West Ridge,2,2010-2014,73019,17097,7644,13088,32839,2351
West Ridge,2,2011-2015,72211,16868,8110,12672,31978,2583
Uptown,3,1980,64414,#N/A,9416,14984,30561,9453
Uptown,3,1990,63839,8859,15134,14398,24743,705
Uptown,3,2000*,63551,8206,13415,12674,26784,2472
Uptown,3,2010,56362,6414,11275,8009,29098,1566
Uptown,3,2008-2012,54995,6402,11062,7010,28769,1752
Uptown,3,2009-2013,54449,5803,10796,6627,29312,1911
Uptown,3,2010-2014,54062,5285,10785,6964,28972,2056
Uptown,3,2011-2015,55137,4854,11445,6402,30371,2065
Lincoln Square,4,1980,43954,#N/A,228,4973,33991,4762
Lincoln Square,4,1990,44891,5980,1087,10353,27068,403
Lincoln Square,4,2000*,44574,5921,1342,11831,23716,1764
Lincoln Square,4,2010,39493,4399,1488,7562,24916,1128
Lincoln Square,4,2008-2012,38622,4015,1764,7483,24332,1028
Lincoln Square,4,2009-2013,38667,4513,1793,6333,24949,1079
Lincoln Square,4,2010-2014,39547,4738,1525,6236,25865,1183
Lincoln Square,4,2011-2015,40761,4480,1398,7184,26405,1294
North Center,5,1980,35161,#N/A,390,6684,26185,1902
North Center,5,1990,33010,1692,992,9048,21070,208
North Center,5,2000*,31895,1324,1333,6496,21938,804
North Center,5,2010,31867,1449,738,4330,24634,716
North Center,5,2008-2012,33418,1392,473,4376,26348,829
North Center,5,2009-2013,34534,1270,639,4962,26755,908
North Center,5,2010-2014,34815,1313,594,4817,27043,1048
North Center,5,2011-2015,34623,1493,674,4987,26322,1147
Lake View,6,1980,97519,#N/A,6558,18333,66037,6591
Lake View,6,1990,91031,3917,5575,12932,68204,403
Lake View,6,2000*,94817,5143,4193,8268,75363,1850
Lake View,6,2010,94368,5653,3651,7198,75845,2021
Lake View,6,2008-2012,96539,6661,3567,7268,77037,2006
Lake View,6,2009-2013,96541,6310,3245,7294,77336,2356
Lake View,6,2010-2014,97968,6639,3430,7133,78123,2643
Lake View,6,2011-2015,98212,6764,3428,7125,78186,2709
Lincoln Park,7,1980,57146,#N/A,4800,5991,44258,2097
Lincoln Park,7,1990,61092,1413,3590,3981,51968,140
Lincoln Park,7,2000*,64320,2325,3323,3254,54341,1077
Lincoln Park,7,2010,64116,3296,2753,3571,53138,1358
