AreaName,AreaNumber,Time Range,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
Rogers Park,1,1970,26926,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rogers Park,1,1980,26245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rogers Park,1,1990,25317,4294,3369,2732,2806,2394,2079,1758,1254,974,1474,988,841,133,102,119,#N/A
Rogers Park,1,2000,25503,3624,2192,2115,1865,2170,2197,1810,1566,1190,1917,1807,1382,785,331,291,261
Rogers Park,1,2008-2012,23981,3062,1969,1546,1515,1515,1298,1271,1065,964,1692,2334,1925,1295,1285,717,528
Rogers Park,1,2009-2013,24004,3079,1913,1535,1726,1405,1249,1233,1005,1012,1834,2337,2109,1397,1165,615,390
Rogers Park,1,2010-2014,23487,2946,1753,1903,1900,1334,1100,1377,1035,844,1794,2042,2092,1207,1002,640,518
Rogers Park,1,2011-2015,23820,3096,1675,1838,1809,1548,1281,1491,984,867,1856,2079,2128,1327,664,700,477
West Ridge,2,1970,24015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Ridge,2,1980,24962,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Ridge,2,1990,25078,3494,1953,2210,2254,2010,2036,1868,1562,1342,2051,1935,1512,450,160,241,#N/A
West Ridge,2,2000,25536,2383,1882,1415,1618,1518,1786,1832,1340,1478,2417,2739,2436,1238,583,420,451
West Ridge,2,2008-2012,24402,1873,1519,1601,1288,1441,1473,1411,1514,1102,2019,2176,2626,1510,1148,1089,612
West Ridge,2,2009-2013,24169,2166,1164,1846,1077,1396,1201,1283,1394,1361,1836,2329,2671,1694,1029,1019,703
West Ridge,2,2010-2014,24245,2052,1101,1831,1253,999,1346,1400,1364,1266,2033,2245,2718,1906,1018,1042,671
West Ridge,2,2011-2015,24406,2303,986,1846,1495,1176,1343,1415,1395,1118,1876,1993,2671,1953,1111,895,830
Uptown,3,1970,33116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Uptown,3,1980,28259,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Uptown,3,1990,28094,8554,3002,2627,2371,2450,1933,1340,986,774,1393,1170,741,379,162,212,#N/A
Uptown,3,2000,30676,6147,2253,2100,1824,1927,2163,1538,1438,1198,2401,2470,2197,1181,660,622,557
Uptown,3,2008-2012,29441,5197,1997,2042,1304,1160,1222,1052,1062,896,2088,2069,3299,2170,1095,1608,1180
Uptown,3,2009-2013,29203,4934,2285,1835,1378,1152,1224,989,908,896,1988,2161,3384,2230,1122,1494,1223
Uptown,3,2010-2014,29295,4816,2178,1846,1480,1210,1179,1056,1029,883,1913,2162,3387,2215,1069,1426,1446
Uptown,3,2011-2015,29231,4566,1955,1775,1615,1370,1208,846,1155,883,1891,2206,3244,2334,1045,1359,1779
Lincoln Square,4,1970,18992,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lincoln Square,4,1980,18753,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lincoln Square,4,1990,18163,2542,1908,2084,2041,1632,1694,1260,1115,743,1229,888,693,176,50,108,#N/A
Lincoln Square,4,2000,18655,1431,1134,1223,1087,1492,1316,1399,1233,1091,1761,1750,1860,825,428,303,322
Lincoln Square,4,2008-2012,17622,1205,590,865,839,791,640,774,936,580,1571,2176,2375,1266,840,1049,1125
Lincoln Square,4,2009-2013,17666,1357,609,857,641,860,612,842,1014,561,1337,1913,2231,1473,903,1107,1349
Lincoln Square,4,2010-2014,17723,1277,636,918,778,726,590,897,831,677,1186,2043,2249,1343,999,1126,1447
Lincoln Square,4,2011-2015,18253,1277,712,826,758,808,633,825,833,788,1271,2022,2231,1518,1061,1132,1558
North Center,5,1970,14519,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North Center,5,1980,14067,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North Center,5,1990,13761,2017,1069,1404,1416,1196,1141,1070,942,663,1105,893,525,171,67,82,#N/A
North Center,5,2000,14807,998,586,604,711,873,835,878,795,809,1521,1539,1759,1156,574,594,575
North Center,5,2008-2012,14724,638,306,342,510,425,416,411,450,549,918,1566,1738,1664,1023,1331,2437
North Center,5,2009-2013,14930,604,263,393,330,445,417,383,510,537,1015,1607,1864,1670,1042,1377,2473
North Center,5,2010-2014,14670,563,195,333,437,357,395,393,522,436,869,1472,2021,1719,1032,1336,2590
North Center,5,2011-2015,14543,517,218,333,412,305,476,416,494,448,828,1475,1910,1663,1054,1347,2647
Lake View,6,1970,52441,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lake View,6,1980,52167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lake View,6,1990,53061,6722,3740,4112,5240,4698,4460,3868,3036,2589,3750,4027,2912,1531,735,1641,#N/A
Lake View,6,2000,57007,3793,2409,2032,2393,2767,3503,3492,3345,2699,4806,5968,7349,4384,2254,2563,3250
Lake View,6,2008-2012,52568,4003,1749,1596,1596,1628,1816,1751,2230,2114,3895,4731,6451,5091,3123,4256,6538
Lake View,6,2009-2013,52344,4334,1775,1438,1557,1536,1753,1691,2298,1972,3610,4723,6281,5196,3123,3986,7071
Lake View,6,2010-2014,52225,3709,1675,1510,1579,1722,1288,1844,2231,1909,3562,4837,6421,5575,3278,3934,7151
Lake View,6,2011-2015,52403,3455,1650,1516,1533,1616,1464,1805,2254,1644,3614,5173,6438,5634,3360,3888,7359
Lincoln Park,7,1970,29077,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lincoln Park,7,1980,31781,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lincoln Park,7,1990,34740,3982,1537,2026,2249,2522,2220,2303,1996,1610,2611,2944,2742,1921,1208,2869,#N/A
Lincoln Park,7,2000,35705,2718,1147,1115,1025,1117,1582,1459,1482,1308,2815,3346,4048,3050,2046,2558,4889
Lincoln Park,7,2008-2012,32194,2784,1137,949,984,513,1033,817,935,771,1737,2420,3816,3098,2159,2958,6083
Lincoln Park,7,2009-2013,32312,2694,1255,986,880,541,1127,744,990,800,1669,2736,3501,3235,2154,3106,5894
Lincoln Park,7,2010-2014,32271,2654,1267,888,778,545,999,742,1016,749,1726,2685,3653,3218,2020,3258,6073
Lincoln Park,7,2011-2015,32438,2400,1215,904,660,461,927,633,1004,642,1831,2669,3763,3285,2346,3356,6342
