,time,crime_type,crime_description,crime_intensity
0,2001-01,Property,Arson,
1,2001-02,Property,Arson,
2,2001-03,Property,Arson,
3,2001-04,Property,Arson,
4,2001-05,Property,Arson,
5,2001-06,Property,Arson,
6,2001-07,Property,Arson,
7,2001-08,Property,Arson,
8,2001-09,Property,Arson,
9,2001-10,Property,Arson,
10,2001-11,Property,Arson,
11,2001-12,Property,Arson,0.000402627693866676
12,2002-01,Property,Arson,0.0004060420455008356
13,2002-02,Property,Arson,0.00041689613740392845
14,2002-03,Property,Arson,0.0004222502049541573
15,2002-04,Property,Arson,0.0004153488843038764
16,2002-05,Property,Arson,0.00040607188340048605
17,2002-06,Property,Arson,0.0004120433843619274
18,2002-07,Property,Arson,0.0004045948636287122
19,2002-08,Property,Arson,0.0004040744333033914
20,2002-09,Property,Arson,0.00043062090789300003
21,2002-10,Property,Arson,0.00042475279914732864
22,2002-11,Property,Arson,0.00041632486257583555
23,2002-12,Property,Arson,0.0004262017568670437
24,2003-01,Property,Arson,0.00042754451106689987
25,2003-02,Property,Arson,0.0004195423866547781
26,2003-03,Property,Arson,0.0004111765915225269
27,2003-04,Property,Arson,0.0004147193311655265
28,2003-05,Property,Arson,0.0004209174409845297
29,2003-06,Property,Arson,0.0004200508269457787
30,2003-07,Property,Arson,0.00042475681986400355
31,2003-08,Property,Arson,0.00042831822680857763
32,2003-09,Property,Arson,0.0004118627091228697
33,2003-10,Property,Arson,0.00040017219638330867
34,2003-11,Property,Arson,0.00040745010044758293
35,2003-12,Property,Arson,0.00039423173546828625
36,2004-01,Property,Arson,0.0003960967723309661
37,2004-02,Property,Arson,0.00040872012111911436
38,2004-03,Property,Arson,0.00040188028023811095
39,2004-04,Property,Arson,0.00039066964462146977
40,2004-05,Property,Arson,0.000376237267477085
41,2004-06,Property,Arson,0.00036962892714022906
42,2004-07,Property,Arson,0.0003677388085833432
43,2004-08,Property,Arson,0.0003572778834726089
44,2004-09,Property,Arson,0.0003558233837053254
45,2004-10,Property,Arson,0.0003433739376142644
46,2004-11,Property,Arson,0.00033850950286056175
47,2004-12,Property,Arson,0.00033945564666971903
48,2005-01,Property,Arson,0.0003156855696499088
49,2005-02,Property,Arson,0.0002911661846457827
50,2005-03,Property,Arson,0.000288674231085381
51,2005-04,Property,Arson,0.00029425542339936363
52,2005-05,Property,Arson,0.0002904151679693442
53,2005-06,Property,Arson,0.00028953511192841527
54,2005-07,Property,Arson,0.0002935996358465283
55,2005-08,Property,Arson,0.00029946941362665014
56,2005-09,Property,Arson,0.0002870678112159951
57,2005-10,Property,Arson,0.0002931213704491849
58,2005-11,Property,Arson,0.00030315069330617654
59,2005-12,Property,Arson,0.0002922600444877716
60,2006-01,Property,Arson,0.00030537251564289225
61,2006-02,Property,Arson,0.0003158826824728481
62,2006-03,Property,Arson,0.0003245085219427979
63,2006-04,Property,Arson,0.00032382681318585875
64,2006-05,Property,Arson,0.0003316551083850342
65,2006-06,Property,Arson,0.0003281686486047668
66,2006-07,Property,Arson,0.0003180587175560615
67,2006-08,Property,Arson,0.0003105659940488914
68,2006-09,Property,Arson,0.0003081472722429399
69,2006-10,Property,Arson,0.00030481666663032496
70,2006-11,Property,Arson,0.0002929352420370618
71,2006-12,Property,Arson,0.0003031455444337492
72,2007-01,Property,Arson,0.00029415990171727116
73,2007-02,Property,Arson,0.0002843418647432851
74,2007-03,Property,Arson,0.0002769717920913704
75,2007-04,Property,Arson,0.0002691353402253877
76,2007-05,Property,Arson,0.0002727912626455822
77,2007-06,Property,Arson,0.00028768941456437484
78,2007-07,Property,Arson,0.00028743213941117006
79,2007-08,Property,Arson,0.0002814108895401877
80,2007-09,Property,Arson,0.00028243058387236226
81,2007-10,Property,Arson,0.0002737406829225391
82,2007-11,Property,Arson,0.00026751395922309834
83,2007-12,Property,Arson,0.0002647647153586654
84,2008-01,Property,Arson,0.0002647657878535666
85,2008-02,Property,Arson,0.00026348069388394056
86,2008-03,Property,Arson,0.0002567697392311617
87,2008-04,Property,Arson,0.00025952515268837153
88,2008-05,Property,Arson,0.00025169729965806355
89,2008-06,Property,Arson,0.00023998918067970096
90,2008-07,Property,Arson,0.00023093272955390637
91,2008-08,Property,Arson,0.00024141288202735934
92,2008-09,Property,Arson,0.00024175651320352921
